@RELATION keywordedCreatures

@ATTRIBUTE colors REAL
@ATTRIBUTE deathtouch {F,T}
@ATTRIBUTE defender {F,T}
@ATTRIBUTE doublestrike {F,T}
@ATTRIBUTE firststrike {F,T}
@ATTRIBUTE flying {F,T}
@ATTRIBUTE haste {F,T}
@ATTRIBUTE hexproof {F,T}
@ATTRIBUTE indestructible {F,T}
@ATTRIBUTE largestdevotion REAL
@ATTRIBUTE lifelink {F,T}
@ATTRIBUTE manacost REAL
@ATTRIBUTE menace {F,T}
@ATTRIBUTE power REAL
@ATTRIBUTE rarity {common,rare,special,uncommon}
@ATTRIBUTE reach {F,T}
@ATTRIBUTE toughness REAL
@ATTRIBUTE trample {F,T}
@ATTRIBUTE vigilance {F,T}
@ATTRIBUTE rating {average,bad,good}

@DATA
1,F,F,F,F,F,F,F,F,1,F,1,F,0,common,F,5,F,F,good
1,F,F,F,F,F,F,F,F,1,F,2,F,1,common,F,4,F,F,average
1,F,F,F,F,F,F,F,F,1,F,3,F,2,common,F,3,F,F,bad
0,F,F,F,F,F,F,F,F,0,F,2,F,2,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,6,F,6,common,F,5,F,F,average
1,F,F,F,F,F,F,F,F,1,F,3,F,4,common,F,2,F,F,average
1,F,F,F,F,F,F,F,F,1,F,4,F,2,common,F,4,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,8,F,9,common,F,9,F,F,good
1,F,F,F,F,F,F,F,F,1,F,5,F,2,common,F,5,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,3,F,1,common,F,5,F,F,average
1,F,F,F,F,F,F,F,F,1,F,5,F,2,common,F,5,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,2,F,2,common,F,3,F,F,average
1,F,F,F,F,F,F,F,F,1,F,3,F,0,common,F,5,F,F,bad
2,F,F,F,F,F,F,F,F,1,F,5,F,4,common,F,6,F,F,average
1,F,F,F,F,F,F,F,F,1,F,4,F,3,common,F,4,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,7,F,6,common,F,7,F,F,average
1,F,F,F,F,F,F,F,F,2,F,6,F,6,common,F,4,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,3,F,3,common,F,2,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,2,F,F,average
1,F,F,F,F,F,F,F,F,1,F,2,F,1,common,F,3,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,4,F,3,common,F,3,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,2,F,F,average
1,F,F,F,F,F,F,F,F,1,F,6,F,6,common,F,4,F,F,bad
2,F,F,F,F,F,F,F,F,2,F,7,F,6,common,F,5,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,3,F,3,common,F,2,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,3,F,3,common,F,2,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,2,F,F,average
1,F,F,F,F,F,F,F,F,1,F,2,F,3,common,F,1,F,F,average
1,F,F,F,F,F,F,F,F,1,F,5,F,4,common,F,5,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,3,F,2,common,F,3,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,6,F,6,common,F,5,F,F,average
1,F,F,F,F,F,F,F,F,1,F,5,F,4,common,F,4,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,3,F,1,common,F,4,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,4,F,4,common,F,3,F,F,average
0,F,F,F,F,F,F,F,F,0,F,2,F,2,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,4,F,4,common,F,3,F,F,average
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,2,F,F,average
1,F,F,F,F,F,F,F,F,1,F,5,F,5,common,F,3,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,6,F,6,common,F,5,F,F,average
1,F,F,F,F,F,F,F,F,1,F,4,F,3,common,F,3,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,5,F,3,common,F,7,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,5,F,2,common,F,6,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,3,F,3,common,F,3,F,F,average
1,F,F,F,F,F,F,F,F,1,F,2,F,3,common,F,1,F,F,average
1,F,F,F,F,F,F,F,F,1,F,4,F,5,common,F,2,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,5,F,5,common,F,5,F,F,average
1,F,F,F,F,F,F,F,F,1,F,3,F,2,common,F,4,F,F,average
1,F,F,F,F,F,F,F,F,1,F,3,F,3,common,F,2,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,6,F,6,common,F,6,F,F,average
1,F,F,F,F,F,F,F,F,2,F,6,F,6,common,F,4,F,F,bad
1,F,F,F,F,F,F,F,F,0,F,0,F,0,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,0,F,0,F,0,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,4,F,5,common,F,2,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,2,F,F,average
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,2,F,F,average
1,F,F,F,F,F,F,F,F,1,F,2,F,3,common,F,1,F,F,average
1,F,F,F,F,F,F,F,F,1,F,1,F,1,common,F,2,F,F,average
1,F,F,F,F,F,F,F,F,1,F,5,F,4,common,F,5,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,5,F,4,common,F,3,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,2,F,3,common,F,1,F,F,average
1,F,F,F,F,F,F,F,F,1,F,4,F,5,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,2,F,1,common,F,4,F,F,average
1,F,F,F,F,F,F,F,F,1,F,5,F,4,common,F,4,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,4,F,2,common,F,5,F,F,average
1,F,F,F,F,F,F,F,F,1,F,1,F,1,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,1,F,1,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,5,F,4,common,F,5,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,1,F,2,common,F,1,F,F,good
1,F,F,F,F,F,F,F,F,1,F,3,F,4,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,2,F,2,common,F,3,F,F,average
1,F,F,F,F,F,F,F,F,1,F,7,F,7,uncommon,F,7,F,F,average
1,F,F,F,F,F,F,F,F,1,F,1,F,2,uncommon,F,1,F,F,good
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,2,F,F,average
1,F,F,F,F,F,F,F,F,1,F,3,F,3,common,F,2,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,3,F,2,common,F,3,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,3,F,1,common,F,4,F,F,bad
1,F,F,F,F,F,F,F,F,1,F,5,F,5,common,F,4,F,F,average
1,F,F,F,F,F,F,F,F,1,F,2,F,2,common,F,2,F,F,average
1,F,F,F,F,F,F,F,F,2,F,4,F,4,common,F,4,F,F,average
0,F,F,F,F,F,F,F,F,0,F,2,F,2,common,F,1,F,F,bad
1,F,F,F,F,F,F,F,F,2,F,5,F,5,common,F,4,F,F,average
1,F,F,F,F,F,F,F,F,2,F,6,F,6,common,F,4,F,F,bad
